
RECAPITULATION.

Taken from Indians.

Month.	 Sheep.	 Horses.	 Mules.	 Cattle.	 Burros.
February	 ---	 ---	 ---	 ---

February	 ---	 ---	 ---	 ---

February 25	 ---	 ---	 ---	 ---

March	 ---	 ---	 ---	 ---

March	 ---	 ---	 ---	 ---

March	 ---	 1	 1	 ---

March	 ---	 ---	 ---	 ---

April	 ---	 ---	 ---	 1

May	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---

May	 ---	 ---	 ---	 ---

June	 1	 ---	 ---	 ---

June	 ---	 ---	 1	 ---

June	 ---	 1	 2	 1

June	 ---	 --- 	 2	 ---

July	 ---	 ---	 ---	 1

July	 ---	 1	 ---	 2

July	 ---	 ---	 ---	 2

July	 ---	 ---	 ---	 4

July	 ---	 ---	 1	 ---

July	 1 	 ---	 1	 ---

July	 ---	 ---	 ---	 ---

July	 ---	 ---	 1	 1

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 2	 1

August	 1 	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 1	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 1

August	 ---	 --- 	 ---	 ---

August	 ---	 ---	 ---	 ---

August	 ---	 ---	 ---	 ---

September	 ---	 ---	 ---	 ---

September	 ---	 ---	 ---	 ---

September	 ---	 ---	 ---	 1

September	 ---	 1	 ---	 ---

September	 ---	 ---	 ---	 ---

September	 ---	 ---	 ---	 ---

September	 ---	 --- 	 ---	 1

October	 ---	 1	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 1

October	 ---	 ---	 ---	 ---

October 16	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

October	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 1

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

November	 ---	 ---	 ---	 ---

3 R R-VOL XVI, PT I

